	year	month	arr_flights	arr_del15	 arr_delay	delay_type	value
364	2008	5	606293	120126	6213330	nas_delay	1996671
365	2008	6	608665	164260	9872272	nas_delay	3226918
366	2008	7	627931	140050	8764946	nas_delay	2716037
367	2008	8	612279	120481	7096074	nas_delay	2068748
368	2008	9	540908	71149	3633943	nas_delay	1177489
369	2008	10	556205	73517	3507010	nas_delay	1102384
370	2008	11	523272	81922	4318569	nas_delay	1527896
371	2008	12	544956	168647	10549666	nas_delay	2909396
372	2009	1	532339	108656	5611991	nas_delay	1762603
373	2009	2	488410	78087	4103172	nas_delay	1434960
374	2009	3	557422	107408	5927648	nas_delay	1855778
375	2009	4	537793	102681	6082404	nas_delay	2017471
376	2009	5	546832	100688	5226313	nas_delay	1767069
377	2009	6	557594	122886	7227702	nas_delay	2151260
378	2009	7	580134	121429	6845519	nas_delay	1885143
379	2009	8	568301	108382	5983797	nas_delay	1664002
380	2009	9	510852	66762	3314004	nas_delay	960110
381	2009	10	531799	114549	5800543	nas_delay	1933420
382	2009	11	509540	54740	2619958	nas_delay	759259
383	2009	12	529269	132020	7262768	nas_delay	2029211
384	2010	1	521809	96928	5124918	nas_delay	1411991
385	2010	2	483270	95021	5125358	nas_delay	1389019
386	2010	3	549262	100534	5504552	nas_delay	1463005
387	2010	4	529330	73184	3670504	nas_delay	930462
388	2010	5	542747	100683	5633379	nas_delay	1591463
389	2010	6	551687	120007	6932380	nas_delay	1721647
390	2010	7	570788	122900	7007931	nas_delay	1649654
391	2010	8	569217	97597	5225837	nas_delay	1244824
392	2010	9	526107	72738	3639279	nas_delay	1014346
393	2010	10	545519	82391	4254474	nas_delay	1100194
394	2010	11	520999	83138	3930223	nas_delay	1015379
395	2010	12	539382	129763	7208663	nas_delay	1697134
396	2011	1	494400	97078	5031105	nas_delay	1211385
397	2011	2	455516	92709	5045776	nas_delay	1267792
398	2011	3	526687	101542	5450447	nas_delay	1344471
399	2011	4	507024	112528	6356338	nas_delay	1735882
400	2011	5	520612	107145	6353443	nas_delay	1700346
401	2011	6	528588	111137	6609930	nas_delay	1512665
402	2011	7	547219	110478	6650110	nas_delay	1493581
403	2011	8	541442	96632	5747490	nas_delay	1361589
